city, county, latitude, longitude
Blakes, La Salle, 412731N, 0884510W
Mettawa, Lake, 421400N, 0875533W
Blanding, Jo Daviess, 421629N, 0902309W
Meyer, Adams, 400852N, 0913012W
Blandinsville, Mcdonough, 403322N, 0905157W
Meyer, Adams, 400852N, 0913005W
Block, Champaign, 395806N, 0880508W
Meyer, Franklin, 380253N, 0890234W
Blodgett, Will, 412239N, 0881124W
Michael, Calhoun, 391407N, 0903724W
Bloomfield, Adams, 400115N, 0911825W
Michael Landing Public A, Calhoun, 391407N, 0903629W
Bloomfield, Edgar, 394534N, 0874057W
Michigan Beach, Will, 413053N, 0880344W
Bloomfield, Johnson, 372709N, 0885230W
Mid City, Greene, 391319N, 0902329W
Bloomingdale, Du Page, 415727N, 0880451W
Middeal, Carroll, 415830N, 0895917W
Bloomington, Mclean, 402903N, 0885937W
Middle Creek, Hancock, 402222N, 0910138W
Bloomington Heights, Mclean, 402850N, 0890201W
Middlebury, Cook, 420839N, 0881417W
Blue Island, Cook, 413926N, 0874048W
Middlebury, Kane, 420839N, 0881417W
Blue Mound, Macon, 394204N, 0890723W
Middlegrove, Fulton, 404216N, 0900558W
Blue Ridge, Piatt, 401604N, 0882917W
Middlepoint, White, 375602N, 0881747W
Bluff City, Fayette, 385750N, 0890247W
Middlesworth, Shelby, 392444N, 0884255W
Bluff City, Schuyler, 401049N, 0901349W
Middleton, Wayne, 381735N, 0884011W
Bluff Junction, Madison, 384906N, 0895857W
Middletown, Logan, 400601N, 0893527W
Bluff Springs, Cass, 395916N, 0902045W
Midland City, De Witt, 400843N, 0890801W
Bluffs, Scott, 394507N, 0903206W
Midlothian, Cook, 413731N, 0874303W
Bluffside, St Clair, 382902N, 0900917W
Midway, Madison, 385543N, 0895819W
Bluford, Jefferson, 381951N, 0884333W
Midway, Massac, 371423N, 0883802W
Blyton, Fulton, 403351N, 0901635W
Midway, Tazewell, 403110N, 0893943W
Boaz, Massac, 371730N, 0885359W
Midway, Vermilion, 400058N, 0873816W
Bobtown, Menard, 400434N, 0895917W
Milan, Rock Island, 412711N, 0903419W
Boden, Mercer, 411530N, 0903513W
Miles, Macoupin, 390410N, 0900626W
Bodmann, Piatt, 395258N, 0883445W
Milford, Iroquois, 403742N, 0874146W
Bogota, Jasper, 385506N, 0881424W
Mill Creek, Union, 372030N, 0891509W
Bohleysville, St Clair, 382455N, 0900707W
Mill Shoals, White, 381455N, 0882048W
Bolingbrook, Will, 414155N, 0880406W
Milla, La Salle, 410829N, 0885900W
Bolivia, Christian, 394432N, 0892049W
Millbrook, Kendall, 413554N, 0883310W
Bolton, Stephenson, 421431N, 0894331W
Millburn, Lake, 422533N, 0880014W
Bondville, Champaign, 400648N, 0882210W
Milledgeville, Carroll, 415748N, 0894628W
Bone Gap, Edwards, 382651N, 0875945W
Miller, St Clair, 383206N, 0895612W
Bonfield, Kankakee, 410848N, 0880328W
Miller City, Alexander, 370639N, 0892122W
Bongard, Champaign, 395527N, 0880725W
Millersburg, Mercer, 411429N, 0904906W
Bonnie, Jefferson, 381210N, 0885412W
Millersville, Christian, 392704N, 0890929W
Boody, Macon, 394559N, 0890257W
Millhurst, La Salle, 413722N, 0883308W
Boos, Jasper, 385548N, 0880639W
Millington, Kendall, 413345N, 0883554W
Boothby, Franklin, 380008N, 0884643W
Millsdale, Will, 412606N, 0880951W
Borton, Edgar, 393921N, 0875602W
Millstadt, St Clair, 382741N, 0900530W
Boskydell, Jackson, 374016N, 0891249W
